"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000002"	6	"mitochondrial genome maintenance"	"The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome."	"AKT3,MEF2A,OPA1,PIF1,SLC25A33,SLC25A36"
"GO:0000003"	1	"reproduction"	"The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms."	"MMP23"
"GO:0000012"	8	"single strand break repair"	"The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair."	"A0A5F4C5P4,APLF,APTX,ERCC6,LIG4,TDP1,TNP1,XRCC1"
"GO:0000017"	2	"alpha-glucoside transport"	"The directed movement of alpha-glucosides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Alpha-glucosides are glycosides in which the sugar group is a glucose residue, and the anomeric carbon of the bond is in an alpha configuration."	"SLC5A1,SLC5A2"
"GO:0000018"	1	"regulation of DNA recombination"	"Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents."	"SMARCAD1"
"GO:0000027"	5	"ribosomal large subunit assembly"	"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."	"MDN1,MRTO4,NOP2,RPF2,RRS1"
"GO:0000028"	1	"ribosomal small subunit assembly"	"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit."	"RPSA"
"GO:0000038"	4	"very long-chain fatty acid metabolic process"	"The chemical reactions and pathways involving a fatty acid which has a chain length greater than C22."	"ACAA1,ACSBG1,HSD17B4,PEX5"
"GO:0000045"	19	"autophagosome assembly"	"The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."	"ATG2A,ATP2A2,BECN1,ELAPOR1,EPM2A,PSEN1,RAB1A,RAB23,RAB33B,RAB7A,RB1CC1,RUFY4,STX12,TCIRG1,TMEM41B,ULK1,VMP1,WDR45,WIPI1"
"GO:0000050"	4	"urea cycle"	"The sequence of reactions by which arginine is synthesized from ornithine, then cleaved to yield urea and regenerate ornithine. The overall reaction equation is NH3 + CO2 + aspartate + 3 ATP + 2 H2O = urea + fumarate + 2 ADP + 2 phosphate + AMP + diphosphate."	"ARG1,ARG2,ASS1,OTC"
"GO:0000052"	1	"citrulline metabolic process"	"The chemical reactions and pathways involving citrulline, N5-carbamoyl-L-ornithine, an alpha amino acid not found in proteins."	"ASS1"
"GO:0000053"	1	"argininosuccinate metabolic process"	"The chemical reactions and pathways involving argininosuccinate, 2-(N(omega)-arginino)succinate, an intermediate in the ornithine-urea cycle, where it is synthesized from citrulline and aspartate."	"ASS1"
"GO:0000055"	3	"ribosomal large subunit export from nucleus"	"The directed movement of a ribosomal large subunit from the nucleus into the cytoplasm."	"A0A5F4CIR4,NMD3,NUP88"
"GO:0000056"	1	"ribosomal small subunit export from nucleus"	"The directed movement of a ribosomal small subunit from the nucleus into the cytoplasm."	"NUP88"
"GO:0000070"	9	"mitotic sister chromatid segregation"	"The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."	"BUB3,ESPL1,INCENP,INO80,KLHL22,NEK2,NSL1,PLK1,RAN"
"GO:0000076"	1	"DNA replication checkpoint"	"A cell cycle checkpoint that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome."	"DNA2"
"GO:0000077"	12	"DNA damage checkpoint"	"A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."	"ATM,CDC5L,CLOCK,DOT1L,EIF2AK4,ERCC6,H2AX,HINFP,HUS1,INTS7,PRPF19,PTPN11"
"GO:0000079"	13	"regulation of cyclin-dependent protein serine/threonine kinase activity"	"Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity."	"A0A5F4CD29,BLM,CCNB3,CCNC,CCNH,CCNL1,CCNL2,CCNQ,CCNT2,CKS1B,CNPPD1,GTPBP4,SFN"
"GO:0000082"	25	"G1/S transition of mitotic cell cycle"	"The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."	"ACVR1,CACUL1,CCND1,CDK2,CDKN2C,CDKN2D,CRLF3,E2F3,EIF4EBP1,INHBA,IQGAP3,ITGB1,PIM2,PLK2,PLK3,POLE,PPP3CA,RBBP8,RHOU,RPS6,RPS6KB1,SKP2,TAF10,TRIM71,USP37"
"GO:0000083"	5	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	"Any process that regulates transcription such that the target genes are involved in the transition between G1 and S phase of the mitotic cell cycle."	"BACH1,E2F6,HINFP,KLF11,NPAT"
"GO:0000086"	21	"G2/M transition of mitotic cell cycle"	"The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex."	"ABCB1,BIRC5,BRSK2,CCNA2,CCNY,CDK14,CDKN2B,FBXL15,FBXL7,FOXM1,KAT14,KDM8,LATS1,MASTL,PLCB1,PLK1,PPM1D,TAF2,TPD52L1,USH1C,WNT10B"
"GO:0000103"	3	"sulfate assimilation"	"The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds."	"PAPSS1,PAPSS2,SULT1D1"
"GO:0000117"	1	"regulation of transcription involved in G2/M transition of mitotic cell cycle"	"Any process that regulates transcription such that the target genes are transcribed as part of the G2/M transition of the mitotic cell cycle."	"BACH1"
