"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000015"	6	"phosphopyruvate hydratase complex"	"A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water."	"A0A5F4BNR6,A0A5F4C740,A0A5F4CY61,ENO2,ENO3,LOC476315"
"GO:0000109"	1	"nucleotide-excision repair complex"	"Any complex formed of proteins that act in nucleotide-excision repair."	"POLD1"
"GO:0000118"	14	"histone deacetylase complex"	"A protein complex that possesses histone deacetylase activity."	"CBX5,DNTTIP1,HDAC10,HDAC4,HDAC5,HDAC6,HDAC7,HDAC9,MECOM,NRIP1,RERE,SATB2,ZNF217,ZNF541"
"GO:0000120"	1	"RNA polymerase I transcription factor complex"	"A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase I."	"TAF1A"
"GO:0000123"	8	"histone acetyltransferase complex"	"A protein complex that possesses histone acetyltransferase activity."	"CREBBP,JADE1,KANSL1,KANSL2,KANSL3,MCRS1,OGT,TRRAP"
"GO:0000124"	9	"SAGA complex"	"A SAGA-type histone acetyltransferase complex that contains Spt8 (in budding yeast) or a homolog thereof; additional polypeptides include Spt group, consisting of Spt7, Spt3, and Spt20/Ada5, which interact with the TATA-binding protein (TBP); the Ada group, consisting of Ada1, Ada2, Ada3, Ada4/Gcn5, and Ada5/Spt20, which is functionally linked to the nucleosomal HAT activity; Tra1, an ATM/PI-3 kinase-related protein that targets DNA-bound activators for recruitment to promoters; the TBP-associated factor (TAF) proteins, consisting of Taf5, Taf6, Taf9, Taf10, and Taf12, which mediate nucleosomal HAT activity and are thought to help recruit the basal transcription machinery; the ubiquitin specifc protease Ubp-8."	"A0A5F4CLD5,E2RMK4,ENY2,J9NXV6,SUPT20H,TAF12,TAF6,TAF6L,USP22"
"GO:0000125"	1	"PCAF complex"	"A large multiprotein complex that possesses histone acetyltransferase activity and is involved in regulation of transcription. The composition is similar to that of the SAGA complex, but includes fewer Spt and Ada proteins, and more TAFs."	"TAF10"
"GO:0000126"	1	"transcription factor TFIIIB complex"	"A transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIB contains the TATA-binding protein (TBP) and two Pol III-specific proteins, B'' and BRF."	"BRF2"
"GO:0000137"	4	"Golgi cis cisterna"	"The Golgi cisterna closest to the endoplasmic reticulum; the first processing compartment through which proteins pass after export from the ER."	"NECAB3,SMPD3,TMEM59,XYLT1"
"GO:0000138"	5	"Golgi trans cisterna"	"The Golgi cisterna farthest from the endoplasmic reticulum; the final processing compartment through which proteins pass before exiting the Golgi apparatus; the compartment in which N-linked protein glycosylation is completed."	"B4GALT1,TMEM59,YIPF1,YIPF2,YIPF6"
"GO:0000139"	182	"Golgi membrane"	"The lipid bilayer surrounding any of the compartments of the Golgi apparatus."	"A0A5F4BTG9,A0A5F4CKL6,A0A5F4CWM2,A4GALT,A4GNT,ABCA12,ADAM10,ARCN1,ARFGAP2,ARFGEF1,ARFGEF2,ARMH3,B3GALT1,B3GALT2,B3GALT4,B3GALT5,B3GALT6,B3GAT1,B3GNT2,B3GNT3,B3GNT4,B3GNT5,B3GNT6,B3GNT9,B4GAT1,BCAP31,C12H6orf89,CAV1,CAV2,CAV3,CHST10,CHST11,CHST12,CHST13,CHST14,CHST3,CHST4,CHST7,CHST8,CHST9,CLCN5,CLN3,CLSTN1,CLSTN2,CLSTN3,COG4,COG6,COG7,COPA,COPB1,COPB2,COPZ1,COPZ2,CORO7,DRD2,EBAG9,EMP2,FTCD,FURIN,GABARAPL2,GAD2,GALNT1,GALNT10,GALNT11,GALNT12,GALNT13,GALNT14,GALNT15,GALNT17,GALNT18,GALNT2,GALNT3,GALNT5,GALNT6,GALNT7,GALNT8,GALNT9,GALNTL6,GBF1,GBGT1,GCNT2,GCNT3,GCNT4,GCNT7,GNAI3,GNPTAB,GOLGA5,GOLIM4,GOLT1A,GOLT1B,GORASP2,GOSR2,GRM6,HS2ST1,ICA1,INPP5E,KDELR1,KDELR2,KDELR3,LOC102152620,LOC102153143,LOC102155463,LOC474642,LOC489707,MALL,MANEA,MANEAL,MGAT1,MGAT5,MGAT5B,MOSPD1,MYO18A,NDFIP1,NDFIP2,NDST1,NDST2,NDST3,NDST4,NLRP3,NUMA1,OSBP,PDCD10,PDF,PGAP2,PGAP3,PI4KB,PLA2G4A,PLD3,PMEPA1,PSEN1,PSEN2,PTGES2,PYCARD,RAB10,RAB12,RAB14,RAB21,RAB26,RAB6A,RAB9A,RHBDD2,RHBDF1,RNF125,SACM1L,SCAP,SCOC,SCYL3,SEC16A,SEC16B,SEC22B,SEC23A,SFT2D1,SH3GLB1,SLC10A7,SLC35A1,SLC35A2,SLC35A3,SORL1,SPRING1,ST3GAL2,ST6GAL1,STX10,TAPBP,TBX19,TMCO1,TMED9,TMEM167A,TMEM167B,TMEM59,TMEM59L,TPST2,TRAPPC3,TRIM23,UGCG,USO1,UST,WHAMM,WLS,XYLT1,XYLT2,ZDHHC19,ZDHHC8"
"GO:0000145"	4	"exocyst"	"A protein complex peripherally associated with the plasma membrane that determines where vesicles dock and fuse. At least eight complex components are conserved between yeast and mammals."	"EXOC1,EXOC3L4,EXOC7,MYRIP"
"GO:0000151"	28	"ubiquitin ligase complex"	"A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."	"ARMC8,ASB1,BMI1,DYRK2,FBXO11,FBXO8,GID4,GID8,GPR37,IKBKG,MAEA,MKLN1,RANBP10,RANBP9,RCHY1,RMND5A,RNF168,RNF8,SMURF2,STUB1,TOPORS,TRAF2,UBE2D2,UBE2J2,UBE3D,UBE4A,UBE4B,UBR1"
"GO:0000152"	2	"nuclear ubiquitin ligase complex"	"A ubiquitin ligase complex found in the nucleus."	"BABAM2,BRCC3"
"GO:0000159"	10	"protein phosphatase type 2A complex"	"A protein complex that has protein serine/threonine phosphatase activity that is polycation-stimulated (PCS), being directly stimulated by protamine, polylysine, or histone H1; it constitutes a subclass of several enzymes activated by different histones and polylysine, and consists of catalytic, scaffolding, and regulatory subunits. The catalytic and scaffolding subunits form the core enzyme, and the holoenzyme also includes the regulatory subunit."	"IER5,NKD1,PPP2CA,PPP2CB,PPP2R1A,PPP2R2B,PPP2R2D,PPP2R5B,PPP2R5C,PPP2R5E"
"GO:0000164"	5	"protein phosphatase type 1 complex"	"A protein complex that possesses magnesium-dependent protein serine/threonine phosphatase (AMD phosphatase) activity, and consists of a catalytic subunit and one or more regulatory subunits that dictates the phosphatase's substrate specificity, function, and activity."	"NCK1,PPP1CA,PPP1CC,PPP1R15A,SHOC2"
"GO:0000172"	3	"ribonuclease MRP complex"	"A ribonucleoprotein complex that contains an RNA molecule of the snoRNA family, and cleaves the rRNA precursor as part of rRNA transcript processing. It also has other roles: In S. cerevisiae it is involved in cell cycle-regulated degradation of daughter cell-specific mRNAs, while in mammalian cells it also enters the mitochondria and processes RNAs to create RNA primers for DNA replication."	"POP7,RPP25,RPP30"
"GO:0000176"	5	"nuclear exosome (RNase complex)"	"A ribonuclease complex that has 3-prime to 5-prime processive and distributive hydrolytic exoribonuclease activity and endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."	"EXOSC10,EXOSC2,MTREX,NVL,WDR74"
"GO:0000177"	1	"cytoplasmic exosome (RNase complex)"	"A ribonuclease complex that has 3-prime to 5-prime processive hydrolytic exoribonuclease activity producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."	"CARHSP1"
"GO:0000178"	2	"exosome (RNase complex)"	"A ribonuclease complex that has 3-prime to 5-prime exoribonuclease activity and possibly endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."	"EXOSC6,EXOSC8"
"GO:0000214"	1	"tRNA-intron endonuclease complex"	"A protein complex that catalyzes the endonucleolytic cleavage of pre-tRNA, producing 5'-hydroxyl and 2',3'-cyclic phosphate termini, and specifically removing the intron."	"CLP1"
"GO:0000220"	4	"vacuolar proton-transporting V-type ATPase, V0 domain"	"The V0 domain of a proton-transporting V-type ATPase found in the vacuolar membrane."	"ATP6V0A1,ATP6V0A2,ATP6V0A4,TCIRG1"
"GO:0000221"	5	"vacuolar proton-transporting V-type ATPase, V1 domain"	"The V1 domain of a proton-transporting V-type ATPase found in the vacuolar membrane."	"ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1G1,ATP6V1H"
"GO:0000228"	13	"nuclear chromosome"	"A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact."	"BAZ1A,EXOSC9,FIGNL1,H3C6,H4-16,IK,NCAPD2,RAD51,SETX,SMARCB1,SMC2,TOP1,TOP2A"
"GO:0000235"	3	"astral microtubule"	"Any of the spindle microtubules that radiate in all directions from the spindle poles and are thought to contribute to the forces that separate the poles and position them in relation to the rest of the cell."	"FAM161A,MAP9,PAFAH1B1"
"GO:0000242"	11	"pericentriolar material"	"A network of small fibers that surrounds the centrioles in cells; contains the microtubule nucleating activity of the centrosome."	"CEP152,CEP85,CEP85L,DYNC2I1,DYRK3,HOOK3,LCK,NEK1,PCM1,TCP1,TNKS2"
"GO:0000243"	1	"commitment complex"	"A spliceosomal complex that is formed by association of the U1 snRNP with the 5' splice site of an unspliced intron in an RNA transcript."	"SNRPC"
