"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000009"	1	"alpha-1,6-mannosyltransferase activity"	"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage."	"PIGV"
"GO:0000010"	2	"trans-hexaprenyltranstransferase activity"	"Catalysis of the reaction: all-trans-hexaprenyl diphosphate + isopentenyl diphosphate = all-trans-heptaprenyl diphosphate + diphosphate."	"PDSS1,PDSS2"
"GO:0000014"	1	"single-stranded DNA endodeoxyribonuclease activity"	"Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks."	"MRE11"
"GO:0000033"	1	"alpha-1,3-mannosyltransferase activity"	"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->3) linkage."	"ALG8"
"GO:0000048"	1	"peptidyltransferase activity"	"Catalysis of the reaction: peptidyl-tRNA(1) + aminoacyl-tRNA(2) = tRNA(1) + peptidylaminoacyl-tRNA(2)."	"GGT5"
"GO:0000049"	37	"tRNA binding"	"Interacting selectively and non-covalently with transfer RNA."	"AIMP1,ALKBH1,C26H12orf65,CARS1,CTU2,DALRD3,DTD1,DUS2,EARS2,EEFSEC,EIF2S3,ELP3,FARS2,FARSA,HSD17B10,IARS1,IARS2,IFIT5,IGHMBP2,METTL1,MRPS27,MTRES1,NSUN6,PUS1,RPUSD4,SEPSECS,SSB,TERT,TRMT1,TRMT10A,TRMT11,TRMT1L,TRMU,TRNT1,XPO5,YARS1,YARS2"
"GO:0000062"	11	"fatty-acyl-CoA binding"	"Interacting selectively and non-covalently with acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with a fatty acyl group."	"A0A5F4C9E6,A0A5F4CWV9,A0A5F4D2H9,ACBD4,ACBD5,ACBD6,ACBD7,DBI,ECI2,LOC480641,SOAT1"
"GO:0000104"	1	"succinate dehydrogenase activity"	"Catalysis of the reaction: succinate + acceptor = fumarate + reduced acceptor."	"SDHC"
"GO:0000146"	8	"microfilament motor activity"	"Catalysis of movement along a microfilament, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP)."	"MYH10,MYH14,MYH3,MYH7,MYH9,MYO1B,MYO7A,MYO9B"
"GO:0000149"	6	"SNARE binding"	"Interacting selectively and non-covalently with a SNARE (soluble N-ethylmaleimide-sensitive factor attached protein receptor) protein."	"NBAS,PICALM,SEC24C,SNCA,STX1B,SYT5"
