"id"	"geneNum"	"description"	"gene"
"cfa00010"	59	"Glycolysis / Gluconeogenesis"	"ACSS1,ACSS2,ADH4,ADH5,ADPGK,AKR1A1,ALDH16A1,ALDH1B1,ALDH2,ALDH3A1,ALDH3A2,ALDH3B1,ALDH7A1,ALDH9A1,ALDOA,ALDOB,ALDOC,BPGM,DLAT,DLD,ENO1,ENO2,ENO3,ENO4,FBP1,FBP2,G6PC1,G6PC2,G6PC3,GALM,GAPDH,GAPDHS,GCK,GPI,HK1,HK2,HK3,HKDC1,LDHA,LDHAL6B,LDHB,LDHC,MINPP1,PCK1,PCK2,PDHA2,PDHB,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PGM1,PGM2,PKLR,PKM,TPI1"
"cfa00020"	28	"Citrate cycle (TCA cycle)"	"ACLY,ACO1,ACO2,CS,DLAT,DLD,DLST,FH,IDH1,IDH2,IDH3A,IDH3B,IDH3G,MDH1,MDH2,OGDH,OGDHL,PC,PCK1,PCK2,PDHA2,PDHB,SDHA,SDHB,SDHC,SUCLA2,SUCLG1,SUCLG2"
"cfa00030"	27	"Pentose phosphate pathway"	"ALDOA,ALDOB,ALDOC,DERA,FBP1,FBP2,GLYCTK,GPI,H6PD,IDNK,PFKL,PFKM,PFKP,PGD,PGLS,PGM1,PGM2,PRPS1,PRPS1L1,PRPS2,RBKS,RGN,RPE,RPIA,TALDO1,TKT,TKTL1"
"cfa00040"	16	"Pentose and glucuronate interconversions"	"AKR1A1,AKR1B1,CRPPA,CRYL1,DCXR,DHDH,FGGY,GUSB,KL,RPE,SORD,UGDH,UGP2,UGT1A6,UGT2A3,XYLB"
"cfa00051"	32	"Fructose and mannose metabolism"	"AKR1B1,ALDOA,ALDOB,ALDOC,ENOSF1,FBP1,FBP2,FCSK,FPGT,GFUS,GMDS,GMPPA,GMPPB,HK1,HK2,HK3,HKDC1,KHK,MPI,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PMM1,PMM2,SORD,TIGAR,TKFC,TPI1"
"cfa00052"	29	"Galactose metabolism"	"AKR1B1,B4GALT1,B4GALT2,G6PC1,G6PC2,G6PC3,GAA,GALE,GALK1,GALM,GALT,GANC,GCK,GLB1,HK1,HK2,HK3,HKDC1,LALBA,LCT,MGAM,MGAM2,PFKL,PFKM,PFKP,PGM1,PGM2,SI,UGP2"
"cfa00053"	14	"Ascorbate and aldarate metabolism"	"AKR1A1,ALDH16A1,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,GUSB,KL,MIOX,RGN,UGDH,UGT1A6,UGT2A3"
"cfa00061"	17	"Fatty acid biosynthesis"	"ACACA,ACACB,ACSBG1,ACSBG2,ACSF3,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,CBR4,FASN,HSD17B8,HTD2,MCAT,MECR,OXSM"
"cfa00062"	25	"Fatty acid elongation"	"ACAA2,ACOT4,ACOT7,ECHS1,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,HACD1,HACD2,HACD3,HACD4,HADH,HADHA,HADHB,HSD17B12,MECR,PPT1,PPT2,TECR,THEM4,THEM5"
"cfa00071"	41	"Fatty acid degradation"	"ACAA1,ACAA2,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ACOX1,ACOX3,ACSBG1,ACSBG2,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,ADH4,ADH5,ALDH16A1,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,CPT1A,CPT1B,CPT1C,CPT2,CYP2U1,CYP4A11,CYP4A38,ECHS1,ECI1,ECI2,EHHADH,GCDH,HADH,HADHA,HADHB"
"cfa00100"	20	"Steroid biosynthesis"	"CEL,CYP24A1,CYP27B1,CYP2R1,CYP51A1,DHCR24,DHCR7,EBP,FDFT1,HSD17B7,LBR,LIPA,LSS,MSMO1,NSDHL,SC5D,SOAT1,SOAT2,SQLE,TM7SF2"
"cfa00120"	16	"Primary bile acid biosynthesis"	"ACOT8,ACOX2,AKR1D1,AMACR,BAAT,CH25H,CYP27A1,CYP39A1,CYP46A1,CYP7A1,CYP7B1,CYP8B1,HSD17B4,HSD3B7,SCP2,SLC27A5"
"cfa00130"	11	"Ubiquinone and other terpenoid-quinone biosynthesis"	"COQ2,COQ3,COQ5,COQ6,COQ7,GGCX,HPD,NQO1,TAT,VKORC1,VKORC1L1"
"cfa00140"	38	"Steroid hormone biosynthesis"	"AKR1C3,AKR1D1,COMT,CYP11A1,CYP11B2,CYP17A1,CYP19A1,CYP1A1,CYP1A2,CYP1B1,CYP21A2,CYP2B6,CYP2C18,CYP2D15,CYP2E1,CYP3A26,CYP7A1,CYP7B1,DHRS11,HSD11B1,HSD11B1L,HSD11B2,HSD17B1,HSD17B11,HSD17B12,HSD17B2,HSD17B3,HSD17B6,HSD17B7,HSD17B8,HSD3B2,SRD5A1,SRD5A2,SRD5A3,STS,SULT2B1,UGT1A6,UGT2A3"
"cfa00190"	115	"Oxidative phosphorylation"	"ATP12A,ATP4A,ATP4B,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MG,ATP5PO,ATP6,ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C1,ATP6V1C2,ATP6V1D,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1G1,ATP6V1G2,ATP6V1G3,ATP6V1H,ATP8,COX1,COX10,COX11,COX15,COX17,COX2,COX3,COX4I1,COX4I2,COX5A,COX5B,COX6A2,COX7A1,COX7A2L,COX7B2,COX8A,CYC1,CYCS,CYTB,LHPP,ND1,ND2,ND3,ND4,ND4L,ND5,ND6,NDUFA1,NDUFA10,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA4,NDUFA4L2,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFAB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFC1,NDUFC2,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NDUFV3,PPA1,PPA2,SDHA,SDHB,SDHC,TCIRG1,UQCR10,UQCR11,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ"
"cfa00220"	19	"Arginine biosynthesis"	"ARG1,ARG2,ASL,ASS1,CPS1,GLS,GLS2,GLUD1,GLUL,GOT1,GOT1L1,GOT2,GPT,GPT2,NAGS,NOS1,NOS2,NOS3,OTC"
"cfa00230"	123	"Purine metabolism"	"ADA,ADA2,ADCY1,ADCY10,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADK,ADPRM,ADSL,ADSS1,ADSS2,AK1,AK2,AK3,AK4,AK5,AK6,AK7,AK8,AK9,ALLC,AMPD1,AMPD2,APRT,ATIC,DCK,DGUOK,ENPP1,ENPP3,ENPP4,ENTPD1,ENTPD3,ENTPD4,ENTPD5,ENTPD6,ENTPD8,FHIT,GART,GDA,GMPR,GMPR2,GMPS,GUCY1A1,GUCY1A2,GUCY1B1,GUCY2C,GUCY2D,GUCY2F,GUK1,HDDC2,HDDC3,HPRT1,IMPDH1,IMPDH2,ITPA,LACC1,NME1,NME2,NME3,NME4,NME6,NME7,NPR1,NPR2,NT5C,NT5C1A,NT5C1B,NT5C2,NT5E,NT5M,NTPCR,NUDT16,NUDT2,NUDT5,NUDT9,PAICS,PAPSS1,PAPSS2,PDE10A,PDE11A,PDE1A,PDE1B,PDE1C,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE4C,PDE4D,PDE5A,PDE6A,PDE6B,PDE6C,PDE6D,PDE6G,PDE6H,PDE7A,PDE7B,PDE8A,PDE8B,PDE9A,PFAS,PGM1,PGM2,PNP,PPAT,PRPS1,PRPS1L1,PRPS2,PRUNE1,RRM1,RRM2,RRM2B,UOX,URAD,XDH"
"cfa00232"	3	"Caffeine metabolism"	"CYP1A2,UOX,XDH"
"cfa00240"	52	"Pyrimidine metabolism"	"AK9,ASMTL,CAD,CDA,CMPK1,CMPK2,CTPS1,CTPS2,DCK,DCTD,DCTPP1,DHODH,DPYD,DPYS,DTYMK,DUT,ENPP1,ENPP3,ENTPD1,ENTPD3,ENTPD4,ENTPD5,ENTPD6,ENTPD8,HDDC2,NME1,NME2,NME3,NME4,NME6,NME7,NT5C,NT5C1A,NT5C1B,NT5C2,NT5C3A,NT5C3B,NT5E,NT5M,NUDT2,RRM1,RRM2,RRM2B,TK1,TK2,TYMS,UCK1,UCK2,UCKL1,UMPS,UPB1,UPP1"
