"id"	"geneNum"	"description"	"gene"
15869	42	"Metabolism of nucleotides"	"ADAL,ADK,ADSS2,AK1,AK2,AK5,AK7,AK8,APRT,ATIC,CDA,CMPK1,CTPS1,CTPS2,DCK,DGUOK,DPYS,ENTPD2,ENTPD3,ENTPD4,ENTPD7,GLRX,GMPR,GMPR2,GSR,LHPP,NME1,NT5C1A,NT5C2,NT5C3A,NUDT1,NUDT13,NUDT15,NUDT16,NUDT9,PFAS,PNP,PPAT,RRM1,SAMHD1,TK1,UMPS"
68616	4	"Assembly of the ORC complex at the origin of replication"	"ORC1,ORC3,ORC4,ORC5"
68689	6	"CDC6 association with the ORC:origin complex"	"CDC6,MCM8,ORC1,ORC3,ORC4,ORC5"
68827	38	"CDT1 association with the CDC6:ORC:origin complex"	"CDC6,GMNN,MCM8,ORC1,ORC3,ORC4,ORC5,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
68867	41	"Assembly of the pre-replicative complex"	"CDC6,GMNN,MCM3,MCM4,MCM6,MCM8,ORC1,ORC3,ORC4,ORC5,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC"
68875	59	"Mitotic Prophase"	"AAAS,ARPP19,BANF1,CCNB1,CCNB2,CDK1,CNEP1R1,CTDNEP1,ENSA,GORASP1,H2AC18,H2AC19,H2AC20,H2AC6,H2AC8,H2AJ,H2AX,H2AZ2,H2BC11,H2BC13,H2BC14,H2BC15,H2BC3,H2BC4,H2BC5,H2BC6,H2BC8,H2BC9,H2BU1,H3-3A,H3-3B,H3C1,H3C13,H3C7,H4-16,H4C8,H4C9,LPIN1,NDC1,NEK6,NEK7,NEK9,NUP107,NUP133,NUP188,NUP35,NUP37,NUP42,NUP43,NUP58,NUP62,NUP88,NUP98,RAB1A,RAE1,SEC13,SMC2,SMC4,VRK2"
68877	98	"Mitotic Prometaphase"	"ACTR1A,AURKB,CCNB1,CCNB2,CCP110,CDC20,CDCA8,CDK1,CDK5RAP2,CENPA,CENPC,CENPJ,CENPL,CENPM,CENPN,CENPP,CEP41,CEP57,CEP63,CEP76,CETN2,CKAP5,CSNK2A1,CSNK2A2,DCTN2,DCTN3,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNLL1,HAUS2,HAUS3,HAUS6,HAUS7,HAUS8,HDAC8,ITGB3BP,KIF18A,KNL1,LOC100856176,LOC477570,LOC478702,LOC608051,MAD1L1,MIS12,MZT1,MZT2B,NCAPD2,NCAPH,NDC80,NEK2,NSL1,NUDC,NUF2,NUP107,NUP133,NUP37,NUP43,NUP98,PAFAH1B1,PDS5A,PDS5B,PPP2CB,PPP2R1A,PPP2R5A,PPP2R5B,PPP2R5D,PPP2R5E,PRKAR2B,RAD21,RPS27,SEC13,SFI1,SGO2,SKA1,SKA2,SMC1A,SMC2,SMC3,SMC4,SPC24,SPC25,STAG1,STAG2,TAOK1,TUBA4A,TUBB,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBGCP3,TUBGCP5,XPO1,ZW10,ZWINT"
68881	1	"Mitotic Metaphase/Anaphase Transition"	"FBXO5"
68882	112	"Mitotic Anaphase"	"ANAPC10,ANAPC11,ANAPC16,ANAPC4,ANAPC5,ANAPC7,ANKLE2,AURKB,BANF1,CDC16,CDC20,CDC23,CDC26,CDC27,CDCA8,CENPA,CENPC,CENPL,CENPM,CENPN,CENPP,CKAP5,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNLL1,ESPL1,HDAC8,ITGB3BP,KIF18A,KNL1,LOC477570,LOC478702,LOC608051,MAD1L1,MIS12,NDC80,NSL1,NUDC,NUF2,NUP107,NUP133,NUP37,NUP43,NUP98,PAFAH1B1,PDS5A,PDS5B,PPP2CB,PPP2R1A,PPP2R5A,PPP2R5B,PPP2R5D,PPP2R5E,PSMA3,PSMA6,PSMA8,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB8,PSMB9,PSMC1,PSMC2,PSMC4,PSMD10,PSMD11,PSMD12,PSMD13,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,PSMD9,PSME2,PSME4,PSMF1,RAD21,RPS27,RPS27A,SEC13,SGO2,SKA1,SKA2,SMC1A,SMC3,SPC24,SPC25,STAG1,STAG2,TAOK1,TUBA4A,TUBB3,TUBB4A,TUBB4B,TUBB6,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,VRK2,XPO1,ZW10,ZWINT"
68884	8	"Mitotic Telophase/Cytokinesis"	"MAU2,PDS5A,PDS5B,RAD21,SMC1A,SMC3,STAG1,STAG2"
